structure,T_K,replicas,t_total_ps,D_int_tot_cm2s_mean,D_int_tot_cm2s_std,D_int_xy_cm2s_mean,D_int_xy_cm2s_std,D_int_z_cm2s_mean,D_int_z_cm2s_std,alpha_int_mean,alpha_int_std,N_eff_hops_mean,N_eff_hops_std,RSD_D_est_mean,RSD_D_est_std,n_li_interior_stay_mean,n_li_interior_stay_std,n_li_llzo_drift_mean,n_li_llzo_drift_std,slab_thick_drift_A_mean,slab_thick_drift_A_std,E_per_atom_drift_meV_mean,E_per_atom_drift_meV_std,framework_rms_A_mean,framework_rms_A_std,n_int_cm3_mean,n_int_cm3_std,j0_tres0_mean,j0_tres0_std,jumps_tres0_mean,Rct_tres0_mean,j0_tres10_mean,j0_tres10_std,jumps_tres10_mean,Rct_tres10_mean,j0_tres20_mean,j0_tres20_std,jumps_tres20_mean,Rct_tres20_mean,j0_tres50_mean,j0_tres50_std,jumps_tres50_mean,Rct_tres50_mean,j0_tres100_mean,j0_tres100_std,jumps_tres100_mean,Rct_tres100_mean,j0_tres200_mean,j0_tres200_std,jumps_tres200_mean,Rct_tres200_mean,j0_tres500_mean,j0_tres500_std,jumps_tres500_mean,Rct_tres500_mean,j0_tres1000_mean,j0_tres1000_std,jumps_tres1000_mean,Rct_tres1000_mean
seed3_792at_LLZO110ct_vac1pfu,700.0,5,2970.0,8.672787093827172e-08,4.149349332318955e-08,9.232043430610756e-08,4.501025242884807e-08,7.554274420260004e-08,4.258241029012882e-08,0.5323674636177879,0.1107582506122911,14.305762579659774,5.657134760599048,1.0380651668405423,0.24577425440316933,68.6,2.1908902300206643,0.04147015422570497,1.83467775291065,0.047180979883513205,0.22262564487129435,-1.4923451577939455,1.4237533998995806,1.039453680771172,0.22230254105021038,2.374247437198544e+22,2.6927225292274496e+20,647607.4442591452,112166.04492276484,551.6,9.314490339592506e-08,575999.6048080118,93451.85388273711,490.6,1.047246080213994e-07,474803.57884336804,75977.09256775619,404.4,1.2704481499685425e-07,337666.56161024095,52264.283154148136,287.6,1.7864171254134197e-07,219080.4918696861,31855.975156427237,186.6,2.7533867721038556e-07,125620.06863138014,19578.383204968977,107.0,4.801886632541738e-07,56349.54798531096,8300.372775310287,48.0,1.0704847685685854e-06,25589.84471131607,2217.3603739165137,21.8,2.35723715850942e-06
seed3_792at_LLZO110ct_vac1pfu,800.0,5,2968.0,2.144328578488954e-07,3.9710421136997774e-08,2.2428667671626865e-07,4.233557231913077e-08,1.947252201141488e-07,4.0177695103500573e-08,0.717122602194467,0.032683647408083966,32.062970476207376,5.625257000616134,0.659466220741369,0.057619402362224736,68.2,1.7888543819998317,-0.5632054151277177,3.50761560855268,0.14363737054593656,0.376894832646543,-1.2925075032991733,0.6233312444040943,1.2854071778956042,0.21734672257900653,2.4150987000543357e+22,4.161446213602488e+20,1113458.6757212444,169709.08700902475,947.8,6.191398710988971e-08,932307.2431445236,132759.7576481647,793.6,7.394414942383251e-08,733769.0323438374,86218.93786132225,624.6,9.395145210175068e-08,463334.14402242954,39329.77485539059,394.4,1.4878822764389827e-07,293460.6216450378,21874.30785351242,249.8,2.349162409237529e-07,161885.00265286714,19149.312051892328,137.8,4.2584961525945916e-07,60148.85439642088,9302.317737866857,51.2,1.1461343160694039e-06,22085.907473685795,3040.8486194992734,18.8,3.121387073550716e-06
seed4_1378at_Li111_LLZO001_vac0p5pfu,500.0,5,3114.0,2.5479432654946797e-08,3.771775617269871e-09,1.5786948466430022e-08,2.1793476312630398e-09,4.486440103198035e-08,1.0450329036876545e-08,0.3606889990296619,0.02217934973803413,7.651071779204239,1.1282011515574308,1.3469695873232659,0.10478935497874886,99.4,8.324662155306964,1.7548686156637365,2.9535518620216976,0.043419736185398745,0.13783082117827558,4.060606021808119,0.8328736705805645,0.7960709344058123,0.07948993342031621,2.705220511127407e+22,1.8112048858447104e+21,60589.18400770788,13924.423167245763,153.0,7.111280175768453e-07,58848.16780128503,12929.810370484774,148.6,7.321666573459428e-07,55838.710456374065,12266.966789710727,141.0,7.716271732969721e-07,48789.74623624297,10674.89719551114,123.2,8.831090471627316e-07,42454.37878499012,8460.677105509472,107.2,1.0148933406424834e-06,33903.05297589164,5301.7103613821055,85.6,1.270878653336583e-06,19407.191500352725,1944.3783615800257,49.0,2.2201391844470076e-06,10696.061254880056,2145.6332236559756,27.0,4.028274079894765e-06
seed4_1378at_Li111_LLZO001_vac0p5pfu,600.0,5,2978.0,8.846280192420347e-08,1.985261593560813e-08,6.54076048386701e-08,2.054385237774694e-08,1.345731960952702e-07,2.4087945865876965e-08,0.5626020157867696,0.05282623474956096,22.22362356391776,4.459720365686463,0.7944643231542327,0.07986877817784926,104.8,2.6832815729997477,1.8474667191188854,3.1261195884662145,-0.002524758234098894,0.12324863008071407,3.0221023206946134,0.5449979384566741,0.9314299903677077,0.050738820673410255,2.8154961651604356e+22,6.201210858041748e+20,184589.65563295165,18427.478534640417,445.0,2.8010236757151286e-07,170569.13796914543,17854.590721776283,411.2,3.0312634622889887e-07,154806.42580273608,16904.134572723488,373.2,3.339913010967932e-07,125023.19597252051,15408.324598743393,301.4,4.135552540455316e-07,99553.97157732226,11849.292713277273,240.0,5.193564732055133e-07,71098.12803480431,7446.933940612237,171.4,7.27220265865363e-07,36834.96948360924,1478.2544978603369,88.8,1.4036661437986846e-06,18334.52309882351,1388.2138083575842,44.2,2.820035148627223e-06
seed4_1378at_Li111_LLZO001_vac0p5pfu,700.0,5,2978.0,3.457087384951913e-07,3.6490603014032896e-08,3.066575294525903e-07,3.3264093071838465e-08,4.238111565803934e-07,4.839021898719287e-08,0.7374911582599375,0.02230723379142515,66.65149927332088,9.29401467271694,0.45562545863489357,0.02919877468398617,88.6,4.159326868617084,5.8174161551264145,4.17158145222715,0.04138308233801496,0.07801724375749475,3.3119897703912136,0.7444205237230516,1.2524540963534592,0.11127034652558415,2.7190965234593616e+22,1.1663242662485968e+21,431151.6585727864,68994.59038625367,1039.4,1.399074586276157e-07,396971.4616645725,60868.07039126876,957.0,1.5195382706117422e-07,351176.63473900425,50363.42314188267,846.6,1.7176920918679864e-07,262822.48496413074,36054.44663991677,633.6,2.295135929569819e-07,184506.69398997055,23042.21363597487,444.8,3.2693303169411816e-07,109011.59887716788,8370.49677249447,262.8,5.533478405538193e-07,42891.169421229664,3599.522036747112,103.4,1.4063811653534213e-06,16841.21352516368,808.6100726442633,40.6,3.5817687807276784e-06
seed4_1378at_Li111_LLZO001_vac0p5pfu,800.0,5,2972.0,8.649022579412428e-07,1.1000465957392028e-07,8.024408615046602e-07,1.2667126942390667e-07,9.898250508144085e-07,9.469794403008555e-08,0.8249799827189757,0.029325548968865488,116.89803137969139,15.25285215848715,0.3439667255468918,0.02244881118021281,64.4,2.1908902300206643,3.0027877097654314,3.2489229616320077,-0.049904018762191714,0.12008618775051343,5.215003387862775,0.7001017406981653,1.6189074186509695,0.15522833790939106,2.737761614259246e+22,9.44064293070361e+20,951005.6859783983,60644.87217114234,2288.0,7.249027751613875e-08,840515.3565610653,52940.82368841798,2022.2,8.201951999789721e-08,704025.9243049746,36606.6438151668,1693.8,9.792063575507866e-08,458216.59289595176,21476.24316066357,1102.4,1.5044995568646737e-07,270266.29648257524,8878.772390865992,650.2,2.550768149533016e-07,126282.8360371143,2725.475990076252,303.8,5.45906856856929e-07,30848.193515010633,5485.955311161023,74.2,2.234771577870667e-06,8565.587151222453,2062.153175208427,20.6,8.048329306434211e-06
unseen_2frames_dftfe_labelled_idx0,500.0,5,3098.0,3.14293435312188e-09,5.354208340605075e-09,3.0645148532521736e-09,5.3972259472860985e-09,3.2997733528612987e-09,5.303026630315692e-09,0.0744326243815924,0.11022454030047564,1.1628609926162197,0.470063139685077,3.559946244834798,0.5466626349637201,42.4,1.140175425099138,0.2583303924619682,0.49063946211204473,-0.010510321134421846,0.007371050389911197,0.6600925189047425,1.0335513485234722,0.22738978721544495,0.0011519626809019027,2.5161815636358323e+22,7.568586284149097e+20,6993.145891699911,2887.2000866264525,4.4,6.161270904006035e-06,6993.145891699911,2887.2000866264525,4.4,6.161270904006035e-06,6993.145891699911,2887.2000866264525,4.4,6.161270904006035e-06,6993.145891699911,2887.2000866264525,4.4,6.161270904006035e-06,6993.145891699911,2887.2000866264525,4.4,6.161270904006035e-06,6039.535088286287,3445.6315953117182,3.8,7.134103152006988e-06,5403.794552677204,3989.2402004361193,3.4,7.97340940518428e-06,4768.0540170681215,2973.404088916683,3.0,9.03653065920885e-06
unseen_2frames_dftfe_labelled_idx0,600.0,5,2958.0,9.233615481116853e-09,8.286716052527792e-09,1.0633831091717411e-08,9.350812625556668e-09,6.43318425991574e-09,6.804822204911403e-09,0.16430816755039385,0.11910695881400359,1.9024950090597368,0.7464430964383116,2.8008370858520886,0.5209254997357261,43.2,1.3038404810405297,0.06142228697763297,0.09040837610025838,-0.0028411154742209828,0.008028607956110318,1.1422539244733718,0.1482374217430072,0.25214502469931155,0.0010536861166849539,2.55480511384953e+22,5.5801759858151444e+20,38345.74255807269,10544.337830779228,23.0,1.3483634980779654e-06,37678.86007880187,9692.764618245596,22.6,1.3722283387519114e-06,37678.86007880187,9692.764618245596,22.6,1.3722283387519114e-06,36011.653880624785,10044.830870294129,21.6,1.4357574285089449e-06,35011.33016171855,10544.33783077923,21.0,1.4767790693234857e-06,32677.241484270642,7694.477214483975,19.6,1.5822632885608778e-06,23674.328014114442,7493.159910628428,14.2,2.1839690461826202e-06,18005.826940312392,5453.573931603801,10.8,2.8715148570178897e-06
unseen_2frames_dftfe_labelled_idx0,700.0,5,2958.0,6.04664802809473e-08,2.0574864463627918e-08,6.747262440652729e-08,2.435123883556528e-08,4.6454192029787385e-08,1.5055762647832708e-08,0.5007730697100434,0.08852720354364899,6.692518186273176,1.7286692327031263,1.4604698878658036,0.19477553606507733,44.0,1.0,0.37501017568443407,0.6861857328242157,-0.0033757745381064984,0.018493724931713116,1.1797188145190756,0.22124894202659962,0.27816280692438305,0.002340004479113856,2.546763659450423e+22,3.668518923847875e+20,105700.87296442645,19248.83239095552,63.4,5.706796088079717e-07,103700.22552661397,18392.239149465036,62.2,5.816895047978361e-07,100365.81313025983,17855.45925985758,60.2,6.01014737515372e-07,94363.87081682237,18018.172383614212,56.6,6.39241823293735e-07,84027.1923881245,20810.046127483718,50.4,7.178787142544723e-07,68022.01288562459,14312.74916232349,40.8,8.867913529025836e-07,43347.3611526039,10411.699370533226,26.0,1.3915802768625158e-06,27008.74041046859,4774.152004216919,16.2,2.233400444347247e-06
unseen_2frames_dftfe_labelled_idx0,800.0,5,2958.0,1.1843688478441717e-07,2.417349727225032e-08,1.0346248217575663e-07,1.0574905370211264e-08,1.4838569000173827e-07,5.437629106005208e-08,0.6205244231484641,0.05316659366526363,11.71424379151702,1.95478721093447,1.089684796830215,0.08669482595783626,43.0,1.5811388300841898,5.435447150227229,4.878893465327419,-0.08400158858423927,0.07457872438009794,-0.3227330529457896,1.4049025901359447,0.31371280113280087,0.006958561698235453,2.5908888545753494e+22,7.496139580155391e+20,326105.53236343554,38229.58706953056,195.6,2.1139986677432313e-07,305432.1755060399,31707.614584965642,183.2,2.2570859138131877e-07,291427.6434413524,27175.972438418496,174.8,2.3655499966280094e-07,247413.39980947768,25190.81810110389,148.4,2.786375602497143e-07,210734.86344958207,19535.50241084317,126.4,3.271346039640633e-07,141712.52684505124,17164.938385192225,85.0,4.8646839930656e-07,76358.04387650997,19599.425330875776,45.8,9.028343655252751e-07,41013.27247515601,6934.455535602841,24.6,1.6808867455714471e-06
unseen_2frames_dftfe_labelled_idx1,500.0,5,3106.0,1.7572095088630008e-09,2.556414034921953e-09,1.4477797475009832e-09,2.0235348837741867e-09,2.3760690315870338e-09,3.6768595842538485e-09,0.04857691085369983,0.06814808681088964,1.6508765529843927,0.36466712789161115,2.917698480731345,0.2904312423181559,68.8,1.0954451150103321,0.14760398492190535,0.30697820420925626,0.02369298803259874,0.017895752429387558,-1.2020301299105898,0.46137876459706245,0.7445168464006974,0.17947037395214266,2.531786331254922e+22,4.019220595415246e+20,57601.04181718219,17654.163523175022,51.4,7.480188717202577e-07,56928.23161589699,18158.635167304215,50.8,7.568593839470013e-07,55358.59022449349,17813.871098338943,49.4,7.783194285705679e-07,51099.20249752111,15742.216551342186,45.6,8.431964532536529e-07,44150.06843497985,14612.32048519406,39.4,9.75913918988689e-07,37203.92331158245,11629.156762246894,33.2,1.1581215762958556e-06,26444.19073452094,6680.424223508886,23.6,1.629343349643653e-06,18602.708890577196,4368.159269511617,16.6,2.316150113590426e-06
unseen_2frames_dftfe_labelled_idx1,600.0,5,2970.0,2.3954184154057416e-08,1.5530135579547365e-08,2.1915798756857913e-08,1.4691939197449086e-08,2.80309549484564e-08,1.8867482924437565e-08,0.3255163232338684,0.13693956767394347,5.109012049294499,2.1758760447792995,1.7319766005810333,0.3736651557600951,69.4,0.8944271909999159,2.5442787545967596,1.9263968166416146,-0.04334216942971295,0.06014753265847296,-0.9270762114895911,0.7623766617870541,1.3828165386732014,0.6098019611145308,2.547779344554876e+22,2.1791977682919028e+20,151876.41249479348,29931.40984604231,129.4,3.4043469109314446e-07,151406.49956982146,30481.520306274197,129.0,3.4149128154274897e-07,147652.09449796355,28515.358953489707,125.8,3.50174508176131e-07,136627.91768480785,19507.78888633799,116.4,3.784292438041684e-07,119493.24007104286,14457.675768880687,101.8,4.3269392930729964e-07,91080.65225794897,15792.791151080395,77.6,5.676726976610732e-07,56809.66425444619,8346.221281761133,48.4,9.101268287807811e-07,29819.061036064413,2140.194902956045,25.4,1.733924468965238e-06
unseen_2frames_dftfe_labelled_idx1,700.0,5,2968.0,2.117438777241074e-07,1.2706228668616073e-07,2.5316390610910357e-07,1.8427167852409837e-07,1.28903820954115e-07,1.662853951260563e-08,0.7204086232552397,0.11194603790179507,31.368656968359932,17.376849337948908,0.7117465660916162,0.1588194668518307,67.8,1.3038404810405297,8.417104883799194,3.0782826983224165,-0.23441007775753092,0.30285035112685044,-0.25734635702614794,0.9674958941579707,2.0785300949276713,0.276367592247088,2.483156304884003e+22,3.627546746251794e+20,374285.6447402283,36556.311140922364,318.6,1.6116389629601162e-07,365122.3427032736,33117.611384675794,310.8,1.6520855006405823e-07,345620.956316934,32803.574219929586,294.2,1.745303105367413e-07,289231.4053202894,25283.76088869044,246.2,2.0855734102318967e-07,229787.42031132663,19755.912851500554,195.6,2.6250929120608027e-07,159770.39449049294,8908.227949032273,136.0,3.775501276463919e-07,74246.24214558201,6717.865051359274,63.2,8.124496417707168e-07,33833.73059798674,3658.838718979897,28.8,1.7828756027746285e-06
unseen_2frames_dftfe_labelled_idx1,800.0,5,2968.0,1.6392790766493565e-06,4.348377493761558e-07,2.2747658375468384e-06,6.430502746477882e-07,3.683055548543921e-07,3.8831864886770263e-08,0.891481581859446,0.03746218988684906,230.40760582989637,61.40851130234304,0.249539767219622,0.03606751552333998,68.2,0.4472135954999579,19.90938259259062,3.020392751890779,-0.5256569153901189,0.14446805917672503,0.4651353358104847,0.7371449430824598,3.6922544881258275,0.3301792437376862,2.4783332116578284e+22,3.641836134457457e+20,946169.6744311989,109486.93839207095,805.4,7.286078592345849e-08,879207.0826226833,93554.28198432186,748.4,7.841004407102283e-08,768542.5887917683,66202.91824015518,654.2,8.970051510662409e-08,552617.5997671168,36224.465466090034,470.4,1.247493133136766e-07,363242.69100338547,13065.987818521297,309.2,1.8978679489894397e-07,197128.47202576997,18711.88900890463,167.8,3.497144039496632e-07,78475.45847033036,6348.174041618521,66.8,8.784742063286449e-07,35713.382297874894,10850.054376838889,30.4,1.930331479695838e-06
